Datums;Valsts;14DienuKumulativaIncidence;Izcelosana;Pasizolacija;PersIrVakcParslSert_PasizolacijaLatvija;PersIrVakcParslSert_TestsPirmsIebrauksanasLV;PersIrVakcParslSert_TestsPecIebrauksanasLV;CitasPersonas_PasizolacijaLatvija;CitasPersonas_TestsPirmsIebrauksanasLV;CitasPersonas_TestsPecIebrauksanasLV
2020.08.07.;Islande;25.5;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Francija;24.2;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Šveice;23.6;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Polija;20.9;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Horvātija;18.9;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Austrija;17.7;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Kipra;17.1;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Dānija;15.8;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Apvienotā Karaliste;15.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Vācija;12.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Īrija;11.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Grieķija;9.4;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Slovēnija;9.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Lietuva;7.6;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Igaunija;7.3;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.08.07.;Slovākija;7.2;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
